,Rate,TotalHits,MissingHits,Efficiency,CPLow,CPHigh
0,1.0,829,0,100.0,99.55600913908823,100.0
1,2.0,1697,1,99.94107248084856,99.67211878011804,99.99850809551414
2,3.0,2552,4,99.84326018808778,99.59917436335692,99.9572776837212
3,4.0,3395,4,99.88217967599411,99.69861038098671,99.96788889192963
4,5.0,4200,6,99.85714285714286,99.68932139853447,99.94755647249505
5,6.0,5036,4,99.92057188244638,99.79675846923945,99.97835440563749
6,7.0,5943,6,99.89904088844018,99.78038500954428,99.96294105969967
7,8.0,6720,12,99.82142857142857,99.68827963361187,99.90769656406125
8,9.0,7572,17,99.77548864236661,99.64077814003994,99.86916116200626
9,10.0,8396,19,99.77370176274417,99.64683186585572,99.86370040056951
10,11.0,9242,24,99.74031594892881,99.61385555067272,99.83354684667151
11,12.0,10089,25,99.75220537218753,99.63442210554251,99.83957816789587
12,13.0,11010,26,99.76385104450499,99.65417717382789,99.84568345840358
13,14.0,11815,50,99.57680914092255,99.44245167845673,99.68574132662454
14,15.0,12459,45,99.63881531423068,99.51700168027364,99.73643109777936
15,16.0,13330,55,99.58739684921231,99.46327468097766,99.68902412508956
16,17.0,14376,54,99.62437395659433,99.51017018987316,99.71769597452969
17,18.0,15104,72,99.52330508474576,99.4000529882809,99.6268342407857
18,19.0,15855,96,99.39451277199622,99.26109205919164,99.50928624846935
19,20.0,16640,113,99.32091346153847,99.18411210829419,99.4400185356125
20,21.0,17498,132,99.24562807177963,99.10603918523495,99.36845162709226
21,22.0,18184,193,98.93862736471624,98.77884623702037,99.08245329197061
22,23.0,19518,277,98.58079721282918,98.40486423798424,98.74203070816941
23,24.0,20059,298,98.51438257141433,98.33726064834764,98.67723100379615
24,25.0,20683,388,98.12406324034231,97.92983363016181,98.30459322392244
25,26.0,21795,510,97.6600137646249,97.4505535161035,97.85662587939828
26,27.0,22729,637,97.19741299661226,96.97451581149322,97.40812812550243
27,28.0,23755,775,96.73752894127551,96.50371589252515,96.95981360781363
28,29.0,24142,793,96.71526799768039,96.48266617369907,96.93653318150403
29,30.0,25157,951,96.2197400325953,95.97667792568531,96.45204914285823
30,31.0,26085,1102,95.775349817903,95.52417758375825,96.01625905034456
31,32.0,26953,1235,95.41794976440471,95.16152714166921,95.66452283180944
32,33.0,27892,1431,94.86949662985802,94.60408047011428,95.12551596776055
33,34.0,28714,1603,94.41735738664066,94.14553874382308,94.68014449756618
34,35.0,29078,1613,94.45285095261022,94.18356535424095,94.71321119567834
35,36.0,30198,1840,93.90688125041393,93.63118372140116,94.17409441355602
36,37.0,31127,2006,93.55543418896778,93.27696050206241,93.82574525538496
37,38.0,32120,2231,93.05417185554172,92.77067245285977,93.32985497782865
38,39.0,32656,2376,92.72415482606566,92.4370938083616,93.0035884170788
39,40.0,33523,2549,92.39626525072339,92.10734645261645,92.67781262661956
40,41.0,34232,2652,92.25286281841551,91.96460270609698,92.53392952722237
41,42.0,35352,2969,91.60160669834805,91.30763414671735,91.88872348524238
42,43.0,36328,3219,91.13906628495926,90.84216457245725,91.4293721654411
43,44.0,36999,3344,90.96191788967269,90.66518170425084,91.25220645896923
44,45.0,37938,3574,90.57936633454584,90.28098943512781,90.87151508127342
45,46.0,38702,3911,89.89457909151982,89.59000819295734,90.19314923530996
46,47.0,39816,4747,88.07765722322685,87.75532444429122,88.39442539303555
47,48.0,40351,5256,86.97430051299844,86.64198926313594,87.3012812423173
48,49.0,41670,6463,84.49004079673625,84.1388679663575,84.83640067732769
49,50.0,42197,6982,83.45380003317771,83.09576462004861,83.8072260698755
