Rate,TotalHits,MissingHits,WithinPrevToT,OverMaxROTime,PostSim
1.0,10730,0,0,0,2
2.0,21060,6,6,0,5
3.0,31427,20,19,0,7
4.0,42225,29,29,0,10
5.0,52400,49,48,0,11
6.0,63442,79,79,0,8
7.0,73840,93,88,0,21
8.0,84593,150,146,0,13
9.0,94869,152,148,0,20
10.0,105499,219,211,0,18
11.0,116044,240,229,0,20
12.0,126505,254,251,0,23
13.0,137165,368,359,0,27
14.0,147042,366,362,0,28
15.0,157391,453,445,0,33
16.0,167568,474,465,0,32
17.0,178644,573,560,0,34
18.0,189537,637,632,0,33
19.0,199000,639,630,0,37
20.0,210750,760,736,0,42
21.0,221720,908,883,0,32
22.0,231665,925,897,0,36
23.0,241601,993,966,0,44
24.0,252547,1107,1087,0,44
25.0,263101,1173,1146,0,41
26.0,273453,1354,1325,0,58
27.0,285030,1399,1366,0,42
28.0,294558,1531,1489,0,54
29.0,304893,1594,1534,0,50
30.0,315208,1821,1747,0,60
31.0,325184,1941,1759,0,56
32.0,336698,3760,1923,202,96
33.0,347933,13664,1977,8697,444
34.0,357580,23093,2155,13197,668
35.0,368876,34371,2347,15006,670
36.0,378241,43751,2496,15246,666
37.0,389017,54503,2603,15231,668
38.0,399805,65307,2762,15132,668
39.0,410089,75586,2968,15009,669
40.0,420715,86208,2971,15400,668
